id;Type of study;Gender;Age;Study Year;Finance;Housing;Sport;Age of first glass;Age drunk for the first time;have you ever drink alcool;Which kind of alcool do you drink most often;Frequency;When you drink, how many glasses;how often;when: family events;when:students party;when:bar-disco;when:home;when:sport or culture events;when:outside(beach, etc…);withwho:Alone;withwho:friends;withwho:family;why:fun pleasure;why:todo like everybody;why:for the effects;why:to get confidence;why:because i need it;due to alcool: Have you ever forgotten a part of your party;due to alcool: fallen, vomit, ethylic coma ;due to alcool: have non-protected sexual intercourse;due to alcool: being harrassed or stolen;due to alcool: have a car accident;after having drink: drive a car;due to alcool:been admitted to an ER;Do you agree: One cannot get drunk with cider;Do you agree: Drinking Champagne is safe;Do you agree: No danger in being drunk once a week;Do you agree: we have more fun without alcool;Study level;Frequency of being drunk;Frequency Alcool consumption;origin
345;Arts and communication;Male;18;1;Good;Appartement seul;Yes;10;16;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 3 fois par semaine;15;2 a 3 fois par semaine;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
346;Human sciences;Female;22;4;Average;Appartement en couple;Yes;15;15;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;5;1 fois par month or moins;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;Master;once a month or -;4/month or -;France hors Bretagne
347;Foreign languages;Male;29;2;Average;Chambre chez l_habitant;Yes;15;16;Yes;Vin;2 a 4 fois par mois;2;2 a 4 fois par mois;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Licence;15 days or +;4/month or -;Etranger
348;Foreign languages;Female;20;2;Good;Colocation;No;14;15;Yes;Biere;2 a 3 fois par semaine;12;2 a 4 fois par mois;Yes;No;Yes;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;No;ne se proNoce pas;Licence;15 days or +;2/week or +;Bretagne
349;Human sciences;Female;19;1;Good;Appartement en couple;Yes;16;16;Yes;Champagne;2 a 4 fois par mois;2;1 fois par month or moins;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
350;Arts and communication;Female;21;4;Average;Cite Universitaire;Yes;17;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Master;;;Bretagne
351;Arts and communication;Male;21;2;Bad;Appartement seul;No;12;14;Yes;Biere;2 a 3 fois par semaine;15;2 a 4 fois par mois;No;No;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
352;Foreign languages;Male;21;2;Bad;Colocation;No;15;16;Yes;Biere;Au moins 4 fois par semaine;7;2 a 3 fois par semaine;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;Licence;15 days or +;2/week or +;Bretagne
353;Foreign languages;Male;23;4;Average;Appartement seul;No;15;15;Yes;Biere;2 a 3 fois par semaine;7;2 a 4 fois par mois;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;ne se proNoce pas;No;Master;15 days or +;2/week or +;Bretagne
354;Foreign languages;Male;23;4;Good;Appartement en couple;Yes;16;16;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;Master;once a month or -;4/month or -;Bretagne
355;Arts and communication;Female;25;2;Good;Appartement seul;No;20;20;Yes;Beer;1 time per month or less;1;1 time per month or less;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;;Licence;once a month or -;4/month or -;Foreign country
356;Human sciences;Female;20;3;Average;Appartement en couple;No;16;17;Yes;Cidre;1 fois par month or moins;1;Jamais;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Licence;once a month or -;4/month or -;Bretagne
357;Arts and communication;Female;21;2;Average;Domicile parental;No;15;16;Yes;Vin;2 a 3 fois par semaine;30;2 a 3 fois par semaine;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;No;No;No;No;Yes;ne se proNoce pas;Licence;15 days or +;2/week or +;Bretagne
358;Foreign languages;Male;20;1;Average;Cite Universitaire;No;14;14;Yes;Biere;2 a 3 fois par semaine;11;1 fois par month or moins;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;Yes;Licence;once a month or -;2/week or +;France hors Bretagne
359;Foreign languages;Female;22;1;Average;Appartement en couple;No;15;15;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;No;No;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;France hors Bretagne
360;Social Sciences;Male;22;4;Good;Colocation;Yes;16;16;Yes;Vin;2 a 4 fois par mois;4;2 a 4 fois par mois;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;No;No;Yes;No;Master;15 days or +;4/month or -;Bretagne
361;Sport;Male;24;3;Good;Domicile parental;Yes;16;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;8;1 fois par month or moins;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
362;Arts and communication;Male;23;3;Good;Colocation;Yes;13;13;Yes;Vin;2 a 4 fois par mois;1;2 a 4 fois par mois;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;Yes;Yes;No;Licence;15 days or +;4/month or -;Etranger
363;Foreign languages;Male;19;1;Good;Appartement seul;Yes;15;16;Yes;Biere;2 a 3 fois par semaine;1;1 fois par month or moins;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;Licence;once a month or -;2/week or +;France hors Bretagne
364;Foreign languages;Male;20;3;Average;Appartement en couple;Yes;13;14;Yes;Biere;2 a 4 fois par mois;1;2 a 4 fois par mois;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;France hors Bretagne
365;Human sciences;Male;19;2;Average;Colocation;Yes;10;10;Yes;Biere;1 fois par month or moins;1;Jamais;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
366;Arts and communication;Female;20;2;Good;Domicile parental;Yes;15;15;Yes;Cidre;2 a 4 fois par mois;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
367;Medical school;Female;18;1;Good;Domicile parental;No;16;17;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Licence;;;Bretagne
368;Medical school;Male;22;5;Good;Appartement seul;Yes;11;17;Yes;Biere;2 a 4 fois par mois;5;2 a 4 fois par mois;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Master;15 days or +;4/month or -;Bretagne
369;Arts and communication;Female;20;3;Good;Appartement seul;Yes;16;;Yes;Vin;2 a 4 fois par mois;2;1 fois par month or moins;Yes;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;France hors Bretagne
370;Arts and communication;Female;22;3;Good;Cite Universitaire;No;6;17;Yes;Beer;1 time per month or less;0;1 time per month or less;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Brittany
371;Foreign languages;Female;18;1;Good;Cite Universitaire;No;15;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;3;2 a 4 fois par mois;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
372;Sport;Male;18;1;Good;Appartement en couple;Yes;13;14;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;8;2 a 4 fois par mois;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
373;Human sciences;Male;29;5;Good;Appartement seul;No;16;16;Yes;Biere;2 a 4 fois par mois;6;2 a 4 fois par mois;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Master;15 days or +;4/month or -;Bretagne
374;Social Sciences;Male;21;3;Good;Appartement seul;Yes;15;17;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;0;1 fois par month or moins;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;No;ne se proNoce pas;No;Licence;once a month or -;4/month or -;France hors Bretagne
375;Social Sciences;Female;20;3;Good;Appartement seul;No;14;14;Yes;Vin;1 fois par month or moins;3;1 fois par month or moins;No;No;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
376;Foreign languages;Female;20;1;Bad;Domicile parental;Yes;15;15;Yes;Vin;2 a 4 fois par mois;2;1 fois par month or moins;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
377;Social Sciences;Female;20;3;Good;Appartement en couple;No;14;16;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
378;Arts and communication;Female;19;2;Good;Appartement seul;No;;15;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;10;2 a 4 fois par mois;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;No;;No;No;No;No;Licence;15 days or +;4/month or -;France hors Bretagne
379;Human sciences;Female;25;4;Average;Appartement en couple;No;13;14;Yes;Vin;2 a 4 fois par mois;3;1 fois par month or moins;Yes;No;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Master;once a month or -;4/month or -;Bretagne
380;Human sciences;Female;19;2;Good;Domicile parental;Yes;14;15;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;10;2 a 4 fois par mois;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;Licence;15 days or +;4/month or -;Bretagne
381;Human sciences;Female;22;4;Bad;Appartement seul;Yes;14;14;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 3 fois par semaine;15;2 a 4 fois par mois;No;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;ne se proNoce pas;No;Master;15 days or +;2/week or +;Bretagne
382;Arts and communication;Female;22;4;Good;Cite Universitaire;No;13;16;Yes;Biere;2 a 4 fois par mois;3;1 fois par month or moins;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Master;once a month or -;4/month or -;France hors Bretagne
383;Social Sciences;Male;21;2;Average;Colocation;No;15;15;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 3 fois par semaine;8;2 a 4 fois par mois;Yes;Yes;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;15 days or +;2/week or +;Bretagne
384;Arts and communication;Female;26;8;Average;Cite Universitaire;Yes;15;21;Yes;Vin;2 a 3 fois par semaine;3;1 fois par month or moins;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Doctorat;once a month or -;2/week or +;Bretagne
385;Human sciences;Female;26;4;Average;Appartement en couple;No;15;15;Yes;Vin;2 a 3 fois par semaine;13;2 a 4 fois par mois;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;Master;15 days or +;2/week or +;Bretagne
386;Autre;Female;22;1;Average;Domicile parental;Yes;14;14;Yes;Vin;2 a 4 fois par mois;2;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;Yes;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
387;Social Sciences;Female;20;3;Average;Colocation;No;14;15;Yes;Biere;2 a 3 fois par semaine;15;2 a 3 fois par semaine;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;2/week or +;France hors Bretagne
388;Arts and communication;Male;23;4;Good;Colocation;No;17;17;Yes;Biere;2 a 4 fois par mois;10;2 a 4 fois par mois;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;Master;15 days or +;4/month or -;Bretagne
389;Foreign languages;Female;20;1;Good;Cite Universitaire;Yes;16;17;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
390;Arts and communication;Male;22;2;Bad;Appartement en couple;No;15;15;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;10;2 a 4 fois par mois;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;France hors Bretagne
391;Arts and communication;Female;20;3;Good;Domicile parental;No;14;;Yes;Cidre;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
392;Arts and communication;Male;22;2;Good;Colocation;Yes;18;;Yes;Vin;1 fois par month or moins;7;1 fois par month or moins;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
393;Arts and communication;Female;21;2;Average;Cite Universitaire;Yes;12;17;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;0;1 fois par month or moins;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;France hors Bretagne
394;Social Sciences;Female;19;2;Good;Appartement seul;No;16;;Yes;Vin;2 a 4 fois par mois;0;1 fois par month or moins;No;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
395;Arts and communication;Female;18;1;Average;Cite Universitaire;No;14;16;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;4;2 a 4 fois par mois;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;4/month or -;Bretagne
396;Human sciences;Female;21;3;Good;Appartement en couple;Yes;17;18;Yes;Biere;1 fois par month or moins;0;1 fois par month or moins;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
397;Arts and communication;Female;20;2;Good;Colocation;No;15;16;Yes;Biere;2 a 3 fois par semaine;4;2 a 4 fois par mois;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;Yes;Licence;15 days or +;2/week or +;Bretagne
398;Social Sciences;Male;21;2;Average;Cite Universitaire;Yes;13;13;Yes;Biere;2 a 4 fois par mois;1;;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;Licence;;4/month or -;Bretagne
399;Foreign languages;Male;19;2;Good;Appartement seul;No;16;18;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;1;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
400;Arts and communication;Female;19;2;Good;Appartement seul;Yes;15;15;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 fois par month or moins;0;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
401;Foreign languages;Male;18;1;Good;Cite Universitaire;Yes;15;15;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 fois par month or moins;1;1 fois par month or moins;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
402;Arts and communication;Female;21;3;Average;Colocation;Yes;15;15;Yes;Biere;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
403;Human sciences;Female;21;3;Good;Appartement seul;No;15;;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;France hors Bretagne
404;Foreign languages;Female;19;1;Good;Chambre chez l_habitant;Yes;15;;Yes;Cidre;2 a 4 fois par mois;2;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
405;Human sciences;Female;20;3;Good;Domicile parental;No;14;;Yes;Vin;2 a 4 fois par mois;1;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
406;Human sciences;Male;24;4;Bad;Appartement seul;Yes;15;15;Yes;Biere;2 a 3 fois par semaine;3;1 fois par month or moins;No;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;ne se proNoce pas;Master;once a month or -;2/week or +;France hors Bretagne
407;Autre;Male;30;5;Good;Appartement en couple;Yes;14;14;Yes;Biere;2 a 4 fois par mois;5;2 a 4 fois par mois;No;No;Yes;Yes;No;Yes;No;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Master;15 days or +;4/month or -;Bretagne
408;Human sciences;Female;35;4;Good;Appartement seul;No;16;;Yes;Vin;2 a 4 fois par mois;1;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;Master;once a month or -;4/month or -;France hors Bretagne
409;Medical school;Female;19;1;Good;Appartement seul;No;15;15;Yes;Vin;1 fois par month or moins;1;1 fois par month or moins;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
410;Medical school;Female;19;1;Good;Domicile parental;Yes;16;17;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;1;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
411;Medical school;Male;20;2;Good;Domicile parental;Yes;14;14;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 3 fois par semaine;20;2 a 4 fois par mois;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
412;Medical school;Male;24;6;Good;Domicile parental;No;18;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Doctorat;;;Etranger
413;Medical school;Male;24;5;Good;Appartement seul;Yes;16;18;Yes;Vin;1 fois par month or moins;1;1 fois par month or moins;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Master;once a month or -;4/month or -;Bretagne
414;Medical school;Male;21;4;Good;Appartement en couple;Yes;14;16;Yes;Vin;2 a 3 fois par semaine;20;2 a 4 fois par mois;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Master;15 days or +;2/week or +;Bretagne
415;Medical school;Female;19;1;Good;Domicile parental;Yes;15;16;Yes;Vin;1 fois par month or moins;1;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
416;Medical school;Female;19;1;Good;Domicile parental;Yes;14;15;Yes;Vin;1 fois par month or moins;1;1 fois par month or moins;Yes;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
417;Pharmacy;Male;22;3;Good;Appartement seul;Yes;17;17;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;8;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;4/month or -;Bretagne
418;Medical school;Female;18;1;Good;Domicile parental;Yes;17;;Yes;Cidre;1 fois par month or moins;1;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
419;Pharmacy;Male;23;5;Good;Appartement en couple;Yes;15;15;Yes;Vin;2 a 4 fois par mois;5;2 a 4 fois par mois;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Master;15 days or +;4/month or -;Etranger
420;Medical school;Female;22;4;Good;Domicile parental;Yes;15;15;Yes;Biere;2 a 3 fois par semaine;5;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;ne se proNoce pas;Master;once a month or -;2/week or +;Bretagne
421;Pharmacy;Female;24;5;Good;Domicile parental;Yes;17;17;Yes;Beer;2 to 4 times per month;1;1 time per month or less;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;;Master;once a month or -;4/month or -;Brittany
422;Medical school;Male;20;2;Average;Cite Universitaire;No;16;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 3 fois par semaine;2;2 a 4 fois par mois;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
423;Pharmacy;Female;20;2;Good;Appartement seul;No;14;15;Yes;Biere;2 a 4 fois par mois;5;2 a 4 fois par mois;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
424;Pharmacy;Female;23;2;Average;Domicile parental;No;14;15;Yes;Biere;2 a 3 fois par semaine;9;2 a 4 fois par mois;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
425;Medical school;Female;21;3;Good;Appartement seul;Yes;18;19;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;8;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
426;Medical school;Male;20;2;Good;Domicile parental;Yes;16;16;Yes;Biere;2 a 3 fois par semaine;15;2 a 4 fois par mois;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
427;Medical school;Male;20;3;Good;Colocation;Yes;13;14;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 3 fois par semaine;8;2 a 4 fois par mois;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;2/week or +;Bretagne
428;Medical school;Male;22;3;Good;Colocation;Yes;14;15;Yes;Biere;2 a 4 fois par mois;3;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
429;Pharmacy;Male;21;2;Good;Appartement seul;Yes;11;13;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 3 fois par semaine;30;2 a 3 fois par semaine;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
430;Medical school;Female;18;1;Good;Domicile parental;Yes;10;15;Yes;Vin;1 fois par month or moins;1;1 fois par month or moins;No;No;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
431;Medical school;Male;24;6;Good;Appartement seul;Yes;14;15;Yes;Vin;2 a 4 fois par mois;4;2 a 4 fois par mois;No;Yes;No;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Doctorat;15 days or +;4/month or -;Bretagne
